[2026-02-17T11:26:34.798+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325528.json to Snowflake stage...
[2026-02-17T11:26:35.647+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325539.json to Snowflake stage...
[2026-02-17T11:26:36.300+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325549.json to Snowflake stage...
[2026-02-17T11:26:37.116+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325559.json to Snowflake stage...
[2026-02-17T11:26:37.732+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325569.json to Snowflake stage...
[2026-02-17T11:26:38.374+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325580.json to Snowflake stage...
[2026-02-17T11:26:39.030+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325590.json to Snowflake stage...
[2026-02-17T11:26:39.655+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325600.json to Snowflake stage...
[2026-02-17T11:26:40.289+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325612.json to Snowflake stage...
[2026-02-17T11:26:40.938+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325623.json to Snowflake stage...
[2026-02-17T11:26:41.592+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325633.json to Snowflake stage...
[2026-02-17T11:26:42.212+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325644.json to Snowflake stage...
[2026-02-17T11:26:42.845+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325655.json to Snowflake stage...
[2026-02-17T11:26:44.169+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325666.json to Snowflake stage...
[2026-02-17T11:26:44.771+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325676.json to Snowflake stage...
[2026-02-17T11:26:45.420+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325686.json to Snowflake stage...
[2026-02-17T11:26:46.062+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325697.json to Snowflake stage...
[2026-02-17T11:26:46.780+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325708.json to Snowflake stage...
[2026-02-17T11:26:47.352+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325718.json to Snowflake stage...
[2026-02-17T11:26:47.929+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325729.json to Snowflake stage...
[2026-02-17T11:26:48.510+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325739.json to Snowflake stage...
